Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto (CPC),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01450"",""Aceitunas, olivas"",""2017"",""2017"",""toneladas"",""400000"",""T"",""Cifra no oficial"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01450"",""Aceitunas, olivas"",""2018"",""2018"",""toneladas"",""303989.13"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01450"",""Aceitunas, olivas"",""2019"",""2019"",""toneladas"",""321000"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01450"",""Aceitunas, olivas"",""2020"",""2020"",""toneladas"",""321000"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01450"",""Aceitunas, olivas"",""2021"",""2021"",""toneladas"",""341036.76"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2010"",""2010"",""ha"",""560"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2011"",""2011"",""ha"",""570"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2012"",""2012"",""ha"",""580"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2013"",""2013"",""ha"",""587"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2014"",""2014"",""ha"",""588"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2015"",""2015"",""ha"",""581"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2016"",""2016"",""ha"",""578"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2017"",""2017"",""ha"",""576"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2018"",""2018"",""ha"",""584"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2019"",""2019"",""ha"",""585"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2020"",""2020"",""ha"",""586"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01311"",""Aguacates"",""2021"",""2021"",""ha"",""587"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2010"",""2010"",""100 g/ha"",""66486"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2011"",""2011"",""100 g/ha"",""67368"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2012"",""2012"",""100 g/ha"",""70690"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2013"",""2013"",""100 g/ha"",""69034"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2014"",""2014"",""100 g/ha"",""68693"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2015"",""2015"",""100 g/ha"",""69314"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2016"",""2016"",""100 g/ha"",""69717"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2017"",""2017"",""100 g/ha"",""69979"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2018"",""2018"",""100 g/ha"",""70157"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2019"",""2019"",""100 g/ha"",""70569"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2020"",""2020"",""100 g/ha"",""70857"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01311"",""Aguacates"",""2021"",""2021"",""100 g/ha"",""71145"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2010"",""2010"",""toneladas"",""3726.11"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2011"",""2011"",""toneladas"",""3839.54"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2012"",""2012"",""toneladas"",""4100"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2013"",""2013"",""toneladas"",""4051.54"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2014"",""2014"",""toneladas"",""4038.59"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2015"",""2015"",""toneladas"",""4029.92"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2016"",""2016"",""toneladas"",""4027.05"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2017"",""2017"",""toneladas"",""4033.27"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2018"",""2018"",""toneladas"",""4098.56"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2019"",""2019"",""toneladas"",""4127.25"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2020"",""2020"",""toneladas"",""4150.6"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5510"",""Producción"",""01311"",""Aguacates"",""2021"",""2021"",""toneladas"",""4173.95"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2010"",""2010"",""ha"",""2882"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2011"",""2011"",""ha"",""2833"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2012"",""2012"",""ha"",""2500"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2013"",""2013"",""ha"",""2783"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2014"",""2014"",""ha"",""2843"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2015"",""2015"",""ha"",""2790"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2016"",""2016"",""ha"",""2776"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2017"",""2017"",""ha"",""2780"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2018"",""2018"",""ha"",""2774"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2019"",""2019"",""ha"",""2749"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2020"",""2020"",""ha"",""2737"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5312"",""Área cosechada"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2021"",""2021"",""ha"",""2725"",""I"",""Valor imputado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2010"",""2010"",""100 g/ha"",""10982"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2011"",""2011"",""100 g/ha"",""11128"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2012"",""2012"",""100 g/ha"",""12000"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2013"",""2013"",""100 g/ha"",""11380"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2014"",""2014"",""100 g/ha"",""11228"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2015"",""2015"",""100 g/ha"",""11368"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2016"",""2016"",""100 g/ha"",""11435"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2017"",""2017"",""100 g/ha"",""11442"",""E"",""Valor estimado"""
"QCL,""Cultivos y productos de ganadería"",""032"",""Argentina"",""5419"",""Rendimiento"",""01652"",""Ajíes y pimientos secos (caspicum y pimenta), en bruto"",""2018"",""2018"",""100 g/ha"",""11487"",""E"",""Valor estimado"""
